game_date,player_name,shirt_no,role
1921-08-27 00:00:00,Harry Bradshaw,1,starter
1921-08-27 00:00:00,John Grainger,2,starter
1921-08-27 00:00:00,Tom Stuart,3,starter
1921-08-27 00:00:00,Johnny Campbell,4,starter
1921-08-27 00:00:00,Charles Milnes,5,starter
1921-08-27 00:00:00,Tom Heslop,6,starter
1921-08-27 00:00:00,Jimmy Moreton,7,starter
1921-08-27 00:00:00,Fred Groves,8,starter
1921-08-27 00:00:00,James Hyam,9,starter
1921-08-27 00:00:00,John Ford,10,starter
1921-08-27 00:00:00,Thomas Hughes,11,starter
1921-09-03 00:00:00,Harry Bradshaw,1,starter
1921-09-03 00:00:00,Charlie Hayes,2,starter
1921-09-03 00:00:00,Tom Stuart,3,starter
1921-09-03 00:00:00,Johnny Campbell,4,starter
1921-09-03 00:00:00,Charles Milnes,5,starter
1921-09-03 00:00:00,Tom Heslop,6,starter
1921-09-03 00:00:00,Jimmy Moreton,7,starter
1921-09-03 00:00:00,Alfred Robinson,8,starter
1921-09-03 00:00:00,Fred Groves,9,starter
1921-09-03 00:00:00,John Prentice,10,starter
1921-09-03 00:00:00,Thomas Hughes,11,starter
1921-09-10 00:00:00,Harry Bradshaw,1,starter
1921-09-10 00:00:00,Charlie Hayes,2,starter
1921-09-10 00:00:00,Tom Stuart,3,starter
1921-09-10 00:00:00,Johnny Campbell,4,starter
1921-09-10 00:00:00,Charles Milnes,5,starter
1921-09-10 00:00:00,Tom Heslop,6,starter
1921-09-10 00:00:00,Jimmy Moreton,7,starter
1921-09-10 00:00:00,Alfred Robinson,8,starter
1921-09-10 00:00:00,Fred Groves,9,starter
1921-09-10 00:00:00,John Prentice,10,starter
1921-09-10 00:00:00,Thomas Hughes,11,starter
1921-09-17 00:00:00,Harry Bradshaw,1,starter
1921-09-17 00:00:00,Charlie Hayes,2,starter
1921-09-17 00:00:00,Tom Stuart,3,starter
1921-09-17 00:00:00,Johnny Campbell,4,starter
1921-09-17 00:00:00,Charles Milnes,5,starter
1921-09-17 00:00:00,Peter Fairclough,6,starter
1921-09-17 00:00:00,Jimmy Moreton,7,starter
1921-09-17 00:00:00,Alfred Robinson,8,starter
1921-09-17 00:00:00,Fred Groves,9,starter
1921-09-17 00:00:00,John Prentice,10,starter
1921-09-17 00:00:00,James Roberts,11,starter
1921-09-24 00:00:00,Harry Bradshaw,1,starter
1921-09-24 00:00:00,Charlie Hayes,2,starter
1921-09-24 00:00:00,Tom Stuart,3,starter
1921-09-24 00:00:00,Johnny Campbell,4,starter
1921-09-24 00:00:00,Tom Heslop,5,starter
1921-09-24 00:00:00,Peter Fairclough,6,starter
1921-09-24 00:00:00,Jimmy Moreton,7,starter
1921-09-24 00:00:00,Fred Groves,8,starter
1921-09-24 00:00:00,Denis Bullough,9,starter
1921-09-24 00:00:00,John Prentice,10,starter
1921-09-24 00:00:00,James Roberts,11,starter
1921-10-01 00:00:00,Harry Bradshaw,1,starter
1921-10-01 00:00:00,Charlie Hayes,2,starter
1921-10-01 00:00:00,Tom Stuart,3,starter
1921-10-01 00:00:00,Johnny Campbell,4,starter
1921-10-01 00:00:00,Joe Mercer,5,starter
1921-10-01 00:00:00,Tom Heslop,6,starter
1921-10-01 00:00:00,Fred Cook,7,starter
1921-10-01 00:00:00,Fred Groves,8,starter
1921-10-01 00:00:00,Denis Bullough,9,starter
1921-10-01 00:00:00,Charlie Cunningham,10,starter
1921-10-01 00:00:00,John Prentice,11,starter
1921-10-08 00:00:00,Harry Bradshaw,1,starter
1921-10-08 00:00:00,Charlie Hayes,2,starter
1921-10-08 00:00:00,Tom Stuart,3,starter
1921-10-08 00:00:00,Johnny Campbell,4,starter
1921-10-08 00:00:00,Joe Mercer,5,starter
1921-10-08 00:00:00,Tom Heslop,6,starter
1921-10-08 00:00:00,Jimmy Moreton,7,starter
1921-10-08 00:00:00,Fred Groves,8,starter
1921-10-08 00:00:00,Denis Bullough,9,starter
1921-10-08 00:00:00,Charlie Cunningham,10,starter
1921-10-08 00:00:00,John Prentice,11,starter
1921-10-15 00:00:00,Harry Bradshaw,1,starter
1921-10-15 00:00:00,Charlie Hayes,2,starter
1921-10-15 00:00:00,Tom Stuart,3,starter
1921-10-15 00:00:00,Johnny Campbell,4,starter
1921-10-15 00:00:00,Joe Mercer,5,starter
1921-10-15 00:00:00,James Roberts,6,starter
1921-10-15 00:00:00,Fred Cook,7,starter
1921-10-15 00:00:00,Fred Groves,8,starter
1921-10-15 00:00:00,Denis Bullough,9,starter
1921-10-15 00:00:00,Charlie Cunningham,10,starter
1921-10-15 00:00:00,John Prentice,11,starter
1921-10-22 00:00:00,Harry Bradshaw,1,starter
1921-10-22 00:00:00,Charlie Hayes,2,starter
1921-10-22 00:00:00,Tom Stuart,3,starter
1921-10-22 00:00:00,Johnny Campbell,4,starter
1921-10-22 00:00:00,Joe Mercer,5,starter
1921-10-22 00:00:00,James Roberts,6,starter
1921-10-22 00:00:00,Fred Cook,7,starter
1921-10-22 00:00:00,John Ford,8,starter
1921-10-22 00:00:00,Fred Groves,9,starter
1921-10-22 00:00:00,Charlie Cunningham,10,starter
1921-10-22 00:00:00,John Prentice,11,starter
1921-10-29 00:00:00,Harry Bradshaw,1,starter
1921-10-29 00:00:00,Charlie Hayes,2,starter
1921-10-29 00:00:00,Tom Stuart,3,starter
1921-10-29 00:00:00,Johnny Campbell,4,starter
1921-10-29 00:00:00,Joe Mercer,5,starter
1921-10-29 00:00:00,James Roberts,6,starter
1921-10-29 00:00:00,Fred Cook,7,starter
1921-10-29 00:00:00,Tom Stott,8,starter
1921-10-29 00:00:00,Fred Groves,9,starter
1921-10-29 00:00:00,Charlie Cunningham,10,starter
1921-10-29 00:00:00,John Prentice,11,starter
1921-11-05 00:00:00,Harry Bradshaw,1,starter
1921-11-05 00:00:00,Charlie Hayes,2,starter
1921-11-05 00:00:00,Tom Stuart,3,starter
1921-11-05 00:00:00,Johnny Campbell,4,starter
1921-11-05 00:00:00,Joe Mercer,5,starter
1921-11-05 00:00:00,James Roberts,6,starter
1921-11-05 00:00:00,Fred Cook,7,starter
1921-11-05 00:00:00,Fred Groves,8,starter
1921-11-05 00:00:00,Denis Bullough,9,starter
1921-11-05 00:00:00,Charlie Cunningham,10,starter
1921-11-05 00:00:00,John Prentice,11,starter
1921-11-12 00:00:00,Harry Bradshaw,1,starter
1921-11-12 00:00:00,Charlie Hayes,2,starter
1921-11-12 00:00:00,Tom Stuart,3,starter
1921-11-12 00:00:00,Johnny Campbell,4,starter
1921-11-12 00:00:00,Joe Mercer,5,starter
1921-11-12 00:00:00,James Roberts,6,starter
1921-11-12 00:00:00,Fred Cook,7,starter
1921-11-12 00:00:00,Fred Groves,8,starter
1921-11-12 00:00:00,Denis Bullough,9,starter
1921-11-12 00:00:00,Charlie Cunningham,10,starter
1921-11-12 00:00:00,John Prentice,11,starter
1921-11-19 00:00:00,Harry Bradshaw,1,starter
1921-11-19 00:00:00,Charlie Hayes,2,starter
1921-11-19 00:00:00,Tom Stuart,3,starter
1921-11-19 00:00:00,Johnny Campbell,4,starter
1921-11-19 00:00:00,Joe Mercer,5,starter
1921-11-19 00:00:00,James Roberts,6,starter
1921-11-19 00:00:00,Jimmy Moreton,7,starter
1921-11-19 00:00:00,Fred Cook,8,starter
1921-11-19 00:00:00,Denis Bullough,9,starter
1921-11-19 00:00:00,Charlie Cunningham,10,starter
1921-11-19 00:00:00,John Prentice,11,starter
1921-11-24 00:00:00,Harry Bradshaw,1,starter
1921-11-24 00:00:00,Charlie Hayes,2,starter
1921-11-24 00:00:00,Tom Stuart,3,starter
1921-11-24 00:00:00,Johnny Campbell,4,starter
1921-11-24 00:00:00,Joe Mercer,5,starter
1921-11-24 00:00:00,James Roberts,6,starter
1921-11-24 00:00:00,Jimmy Moreton,7,starter
1921-11-24 00:00:00,Fred Cook,8,starter
1921-11-24 00:00:00,Denis Bullough,9,starter
1921-11-24 00:00:00,Charlie Cunningham,10,starter
1921-11-24 00:00:00,John Prentice,11,starter
1921-11-26 00:00:00,Harry Bradshaw,1,starter
1921-11-26 00:00:00,Charlie Hayes,2,starter
1921-11-26 00:00:00,Tom Stuart,3,starter
1921-11-26 00:00:00,Johnny Campbell,4,starter
1921-11-26 00:00:00,Charles Milnes,5,starter
1921-11-26 00:00:00,James Roberts,6,starter
1921-11-26 00:00:00,Fred Cook,7,starter
1921-11-26 00:00:00,Harold Hilton,8,starter
1921-11-26 00:00:00,Denis Bullough,9,starter
1921-11-26 00:00:00,Charlie Cunningham,10,starter
1921-11-26 00:00:00,John Prentice,11,starter
1921-12-10 00:00:00,Harry Bradshaw,1,starter
1921-12-10 00:00:00,Charlie Hayes,2,starter
1921-12-10 00:00:00,Tom Stuart,3,starter
1921-12-10 00:00:00,Johnny Campbell,4,starter
1921-12-10 00:00:00,Joe Mercer,5,starter
1921-12-10 00:00:00,James Roberts,6,starter
1921-12-10 00:00:00,Fred Cook,7,starter
1921-12-10 00:00:00,Harold Hilton,8,starter
1921-12-10 00:00:00,Denis Bullough,9,starter
1921-12-10 00:00:00,Charlie Cunningham,10,starter
1921-12-10 00:00:00,John Prentice,11,starter
1921-12-17 00:00:00,Harry Bradshaw,1,starter
1921-12-17 00:00:00,Charlie Hayes,2,starter
1921-12-17 00:00:00,Tom Stuart,3,starter
1921-12-17 00:00:00,Johnny Campbell,4,starter
1921-12-17 00:00:00,Joe Mercer,5,starter
1921-12-17 00:00:00,James Roberts,6,starter
1921-12-17 00:00:00,Fred Cook,7,starter
1921-12-17 00:00:00,Jimmy Moreton,8,starter
1921-12-17 00:00:00,Denis Bullough,9,starter
1921-12-17 00:00:00,Charlie Cunningham,10,starter
1921-12-17 00:00:00,John Prentice,11,starter
1921-12-24 00:00:00,Harry Bradshaw,1,starter
1921-12-24 00:00:00,Charlie Hayes,2,starter
1921-12-24 00:00:00,Tom Stuart,3,starter
1921-12-24 00:00:00,Johnny Campbell,4,starter
1921-12-24 00:00:00,Joe Mercer,5,starter
1921-12-24 00:00:00,James Roberts,6,starter
1921-12-24 00:00:00,Fred Cook,7,starter
1921-12-24 00:00:00,Harold Hilton,8,starter
1921-12-24 00:00:00,Evan Lloyd,9,starter
1921-12-24 00:00:00,Charlie Cunningham,10,starter
1921-12-24 00:00:00,John Prentice,11,starter
1921-12-26 00:00:00,Harry Bradshaw,1,starter
1921-12-26 00:00:00,Charlie Hayes,2,starter
1921-12-26 00:00:00,Tom Stuart,3,starter
1921-12-26 00:00:00,Johnny Campbell,4,starter
1921-12-26 00:00:00,Joe Mercer,5,starter
1921-12-26 00:00:00,James Roberts,6,starter
1921-12-26 00:00:00,Fred Cook,7,starter
1921-12-26 00:00:00,Harold Hilton,8,starter
1921-12-26 00:00:00,John Prentice,9,starter
1921-12-26 00:00:00,Charlie Cunningham,10,starter
1921-12-26 00:00:00,George Moorhouse,11,starter
1921-12-27 00:00:00,Harry Bradshaw,1,starter
1921-12-27 00:00:00,Arthur Sugden,2,starter
1921-12-27 00:00:00,Tom Stuart,3,starter
1921-12-27 00:00:00,Johnny Campbell,4,starter
1921-12-27 00:00:00,Joe Mercer,5,starter
1921-12-27 00:00:00,James Roberts,6,starter
1921-12-27 00:00:00,Fred Cook,7,starter
1921-12-27 00:00:00,Harold Hilton,8,starter
1921-12-27 00:00:00,Evan Lloyd,9,starter
1921-12-27 00:00:00,Charlie Cunningham,10,starter
1921-12-27 00:00:00,John Prentice,11,starter
1921-12-31 00:00:00,Harry Bradshaw,1,starter
