player_name,season,player_dob,dob_display,forename,surname,pl_index
Alan A'Court,1964/65,1934-09-30,,Alan,A'Court,"A'Court, Alan"
Alan A'Court,1965/66,1934-09-30,,Alan,A'Court,"A'Court, Alan"
John Achterberg,1998/99,1971-07-08,,John,Achterberg,"Achterberg, John"
John Achterberg,1999/00,1971-07-08,,John,Achterberg,"Achterberg, John"
John Achterberg,2000/01,1971-07-08,,John,Achterberg,"Achterberg, John"
John Achterberg,2001/02,1971-07-08,,John,Achterberg,"Achterberg, John"
John Achterberg,2002/03,1971-07-08,,John,Achterberg,"Achterberg, John"
John Achterberg,2003/04,1971-07-08,,John,Achterberg,"Achterberg, John"
John Achterberg,2004/05,1971-07-08,,John,Achterberg,"Achterberg, John"
John Achterberg,2005/06,1971-07-08,,John,Achterberg,"Achterberg, John"
John Achterberg,2006/07,1971-07-08,,John,Achterberg,"Achterberg, John"
John Achterberg,2007/08,1971-07-08,,John,Achterberg,"Achterberg, John"
John Achterberg,2008/09,1971-07-08,,John,Achterberg,"Achterberg, John"
Arthur Adams,1929/30,1908-11-12,,Arthur,Adams,"Adams, Arthur"
Arthur Adams,1931/32,1908-11-12,,Arthur,Adams,"Adams, Arthur"
Arthur Adams,1932/33,1908-11-12,,Arthur,Adams,"Adams, Arthur"
Nigel Adkins,1982/83,1965-03-11,,Nigel,Adkins,"Adkins, Nigel"
Nigel Adkins,1983/84,1965-03-11,,Nigel,Adkins,"Adkins, Nigel"
Nigel Adkins,1984/85,1965-03-11,,Nigel,Adkins,"Adkins, Nigel"
Nigel Adkins,1985/86,1965-03-11,,Nigel,Adkins,"Adkins, Nigel"
Adnan Ahmed,2007/08,1984-06-07,,Adnan,Ahmed,"Ahmed, Adnan"
Will Aimson,2014/15,1994-06-03,,Will,Aimson,"Aimson, Will"
Sam Aiston,2005/06,1976-11-21,,Sam,Aiston,"Aiston, Sam"
Franklyn Akammadu,2018/19,1998-08-11,,Franklyn,Akammadu,"Akammadu, Franklyn"
Lucas Akins,2010/11,1989-02-25,,Lucas,Akins,"Akins, Lucas"
Lucas Akins,2011/12,1989-02-25,,Lucas,Akins,"Akins, Lucas"
Jean-Louis Akpa Akpro,2012/13,1985-01-04,,Jean-Louis,Akpa Akpro,"Akpa Akpro, Jean-Louis"
Jean-Louis Akpa Akpro,2013/14,1985-01-04,,Jean-Louis,Akpa Akpro,"Akpa Akpro, Jean-Louis"
James Alabi,2017/18,1994-11-08,,James,Alabi,"Alabi, James"
Edward Alcock,1935/36,,~1914,Edward,Alcock,"Alcock, Edward"
John Aldridge,1991/92,1958-09-18,,John,Aldridge,"Aldridge, John"
John Aldridge,1992/93,1958-09-18,,John,Aldridge,"Aldridge, John"
John Aldridge,1993/94,1958-09-18,,John,Aldridge,"Aldridge, John"
John Aldridge,1994/95,1958-09-18,,John,Aldridge,"Aldridge, John"
John Aldridge,1995/96,1958-09-18,,John,Aldridge,"Aldridge, John"
John Aldridge,1996/97,1958-09-18,,John,Aldridge,"Aldridge, John"
John Aldridge,1997/98,1958-09-18,,John,Aldridge,"Aldridge, John"
Paul Aldridge,1999/00,1981-12-02,,Paul,Aldridge,"Aldridge, Paul"
Paul Aldridge,2000/01,1981-12-02,,Paul,Aldridge,"Aldridge, Paul"
Alex Alexander,1946/47,1924-09-28,,Alex,Alexander,"Alexander, Alex"
Alex Alexander,1947/48,1924-09-28,,Alex,Alexander,"Alexander, Alex"
Alex Alexander,1948/49,1924-09-28,,Alex,Alexander,"Alexander, Alex"
Gillie Alldis,1938/39,1920-01-26,,Gillie,Alldis,"Alldis, Gillie"
Gillie Alldis,1946/47,1920-01-26,,Gillie,Alldis,"Alldis, Gillie"
Gillie Alldis,1947/48,1920-01-26,,Gillie,Alldis,"Alldis, Gillie"
Gillie Alldis,1948/49,1920-01-26,,Gillie,Alldis,"Alldis, Gillie"
Graham Allen,1998/99,1977-04-08,,Graham,Allen,"Allen, Graham"
Graham Allen,1999/00,1977-04-08,,Graham,Allen,"Allen, Graham"
Graham Allen,2000/01,1977-04-08,,Graham,Allen,"Allen, Graham"
Graham Allen,2001/02,1977-04-08,,Graham,Allen,"Allen, Graham"
Graham Allen,2002/03,1977-04-08,,Graham,Allen,"Allen, Graham"
Graham Allen,2003/04,1977-04-08,,Graham,Allen,"Allen, Graham"
Mark Allen,1983/84,1963-12-18,,Mark,Allen,"Allen, Mark"
Russell Allen,1973/74,1954-01-09,,Russell,Allen,"Allen, Russell"
Russell Allen,1974/75,1954-01-09,,Russell,Allen,"Allen, Russell"
Russell Allen,1975/76,1954-01-09,,Russell,Allen,"Allen, Russell"
Russell Allen,1976/77,1954-01-09,,Russell,Allen,"Allen, Russell"
Russell Allen,1977/78,1954-01-09,,Russell,Allen,"Allen, Russell"
Wayne Allison,1999/00,1968-10-16,,Wayne,Allison,"Allison, Wayne"
Wayne Allison,2000/01,1968-10-16,,Wayne,Allison,"Allison, Wayne"
Wayne Allison,2001/02,1968-10-16,,Wayne,Allison,"Allison, Wayne"
John Almond,1936/37,,Q4 1915,John,Almond,"Almond, John"
Louis Almond,2016/17,1992-01-05,,Louis,Almond,"Almond, Louis"
Charlie Amery,1935/36,1910-09-16,,Charlie,Amery,"Amery, Charlie"
Charlie Amery,1936/37,1910-09-16,,Charlie,Amery,"Amery, Charlie"
Charlie Amery,1937/38,1910-09-16,,Charlie,Amery,"Amery, Charlie"
David Amoo,2012/13,1991-04-13,,David,Amoo,"Amoo, David"
Jimmy Anders,1961/62,1928-03-08,,Jimmy,Anders,"Anders, Jimmy"
Doug Anderson,1984/85,1963-08-29,,Doug,Anderson,"Anderson, Doug"
Doug Anderson,1985/86,1963-08-29,,Doug,Anderson,"Anderson, Doug"
Doug Anderson,1986/87,1963-08-29,,Doug,Anderson,"Anderson, Doug"
Iain Anderson,2002/03,1977-07-23,,Iain,Anderson,"Anderson, Iain"
Ted Anderson,1937/38,1911-07-17,,Ted,Anderson,"Anderson, Ted"
Ted Anderson,1938/39,1911-07-17,,Ted,Anderson,"Anderson, Ted"
Ted Anderson,1945/46,1911-07-17,,Ted,Anderson,"Anderson, Ted"
Ted Anderson,1946/47,1911-07-17,,Ted,Anderson,"Anderson, Ted"
Ted Anderson,1947/48,1911-07-17,,Ted,Anderson,"Anderson, Ted"
Godwin Antwi,2008/09,1988-06-07,,Godwin,Antwi,"Antwi, Godwin"
Rob Apter,2023/24,2003-04-23,,Rob,Apter,"Apter, Rob"
Gboly Ariyibi,2013/14,1995-01-18,,Gboly,Ariyibi,"Ariyibi, Gboly"
Alan Arnell,1960/61,1933-11-25,,Alan,Arnell,"Arnell, Alan"
Alan Arnell,1961/62,1933-11-25,,Alan,Arnell,"Arnell, Alan"
Alan Arnell,1962/63,1933-11-25,,Alan,Arnell,"Arnell, Alan"
Stephen Arthurworrey,2013/14,1994-10-15,,Stephen,Arthurworrey,"Arthurworrey, Stephen"
Billy Ashcroft,1985/86,1952-10-01,,Billy,Ashcroft,"Ashcroft, Billy"
Llew Ashcroft,1945/46,1921-07-10,,Llew,Ashcroft,"Ashcroft, Llew"
Llew Ashcroft,1946/47,1921-07-10,,Llew,Ashcroft,"Ashcroft, Llew"
Neil Ashton,2003/04,1985-01-15,,Neil,Ashton,"Ashton, Neil"
Barry Ashworth,1966/67,1942-08-15,,Barry,Ashworth,"Ashworth, Barry"
John Aspinall,1982/83,1959-03-15,,John,Aspinall,"Aspinall, John"
John Aspinall,1983/84,1959-03-15,,John,Aspinall,"Aspinall, John"
John Aspinall,1984/85,1959-03-15,,John,Aspinall,"Aspinall, John"
John Aspinall,1987/88,1959-03-15,,John,Aspinall,"Aspinall, John"
Chris Atkinson,2013/14,1992-02-13,,Chris,Atkinson,"Atkinson, Chris"
Harold Atkinson,1945/46,1925-07-28,,Harold,Atkinson,"Atkinson, Harold"
Harold Atkinson,1946/47,1925-07-28,,Harold,Atkinson,"Atkinson, Harold"
Harold Atkinson,1947/48,1925-07-28,,Harold,Atkinson,"Atkinson, Harold"
Harold Atkinson,1948/49,1925-07-28,,Harold,Atkinson,"Atkinson, Harold"
Harold Atkinson,1949/50,1925-07-28,,Harold,Atkinson,"Atkinson, Harold"
Harold Atkinson,1950/51,1925-07-28,,Harold,Atkinson,"Atkinson, Harold"
Harold Atkinson,1951/52,1925-07-28,,Harold,Atkinson,"Atkinson, Harold"
Harold Atkinson,1952/53,1925-07-28,,Harold,Atkinson,"Atkinson, Harold"
Harold Atkinson,1953/54,1925-07-28,,Harold,Atkinson,"Atkinson, Harold"
Harold Atkinson,1954/55,1925-07-28,,Harold,Atkinson,"Atkinson, Harold"
Phil Babb,1999/00,1970-11-30,,Phil,Babb,"Babb, Phil"
Kithson Bain,2009/10,1982-05-26,,Kithson,Bain,"Bain, Kithson"
Bill Bainbridge,1948/49,1922-03-09,,Bill,Bainbridge,"Bainbridge, Bill"
Bill Bainbridge,1949/50,1922-03-09,,Bill,Bainbridge,"Bainbridge, Bill"
Bill Bainbridge,1950/51,1922-03-09,,Bill,Bainbridge,"Bainbridge, Bill"
Bill Bainbridge,1951/52,1922-03-09,,Bill,Bainbridge,"Bainbridge, Bill"
Bill Bainbridge,1952/53,1922-03-09,,Bill,Bainbridge,"Bainbridge, Bill"
Bill Bainbridge,1953/54,1922-03-09,,Bill,Bainbridge,"Bainbridge, Bill"
Zoumana Bakayogo,2009/10,1986-08-17,,Zoumana,Bakayogo,"Bakayogo, Zoumana"
Zoumana Bakayogo,2010/11,1986-08-17,,Zoumana,Bakayogo,"Bakayogo, Zoumana"
Zoumana Bakayogo,2011/12,1986-08-17,,Zoumana,Bakayogo,"Bakayogo, Zoumana"
Zoumana Bakayogo,2012/13,1986-08-17,,Zoumana,Bakayogo,"Bakayogo, Zoumana"
Zoumana Bakayogo,2018/19,1986-08-17,,Zoumana,Bakayogo,"Bakayogo, Zoumana"
Horace Baker,1934/35,1910-09-01,,Horace,Baker,"Baker, Horace"
Horace Baker,1935/36,1910-09-01,,Horace,Baker,"Baker, Horace"
Edmund Baldwin,1921/22,,Q3 1910,Edmund,Baldwin,"Baldwin, Edmund"
Jack Bamber,1927/28,1895-04-11,,Jack,Bamber,"Bamber, Jack"
Jack Bamber,1928/29,1895-04-11,,Jack,Bamber,"Bamber, Jack"
Jack Bamber,1929/30,1895-04-11,,Jack,Bamber,"Bamber, Jack"
Ollie Banks,2017/18,1992-09-21,,Ollie,Banks,"Banks, Ollie"
Ollie Banks,2018/19,1992-09-21,,Ollie,Banks,"Banks, Ollie"
Ollie Banks,2019/20,1992-09-21,,Ollie,Banks,"Banks, Ollie"
Ollie Banks,2020/21,1992-09-21,,Ollie,Banks,"Banks, Ollie"
George Barker,2014/15,1991-09-26,,George,Barker,"Barker, George"
Stuart Barlow,2000/01,1968-07-16,,Stuart,Barlow,"Barlow, Stuart"
Stuart Barlow,2001/02,1968-07-16,,Stuart,Barlow,"Barlow, Stuart"
Stuart Barlow,2002/03,1968-07-16,,Stuart,Barlow,"Barlow, Stuart"
Charlie Barnett,2008/09,1988-09-19,,Charlie,Barnett,"Barnett, Charlie"
Charlie Barnett,2009/10,1988-09-19,,Charlie,Barnett,"Barnett, Charlie"
Graham Barnett,1959/60,1936-05-17,,Graham,Barnett,"Barnett, Graham"
Graham Barnett,1960/61,1936-05-17,,Graham,Barnett,"Barnett, Graham"
Arthur Barrett,1946/47,1927-12-21,,Arthur,Barrett,"Barrett, Arthur"
Jack Barrett,2025/26,2002-06-04,,Jack,Barrett,"Barrett, Jack"
John Barrie,1948/49,1925-05-17,,John,Barrie,"Barrie, John"
John Barrie,1950/51,1925-05-17,,John,Barrie,"Barrie, John"
Teddy Barton,1925/26,,Q1 1904,Teddy,Barton,"Barton, Teddy"
Teddy Barton,1927/28,,Q1 1904,Teddy,Barton,"Barton, Teddy"
Teddy Barton,1928/29,,Q1 1904,Teddy,Barton,"Barton, Teddy"
Teddy Barton,1929/30,,Q1 1904,Teddy,Barton,"Barton, Teddy"
Teddy Barton,1930/31,,Q1 1904,Teddy,Barton,"Barton, Teddy"
Teddy Barton,1931/32,,Q1 1904,Teddy,Barton,"Barton, Teddy"
Teddy Barton,1932/33,,Q1 1904,Teddy,Barton,"Barton, Teddy"
Teddy Barton,1933/34,,Q1 1904,Teddy,Barton,"Barton, Teddy"
Teddy Barton,1934/35,,Q1 1904,Teddy,Barton,"Barton, Teddy"
Gary Bauress,1989/90,1971-01-19,,Gary,Bauress,"Bauress, Gary"
John Bavin,1948/49,1921-05-25,,John,Bavin,"Bavin, John"
Jose Baxter,2011/12,1992-02-07,,Jose,Baxter,"Baxter, Jose"
Kenny Beamish,1965/66,1947-08-25,,Kenny,Beamish,"Beamish, Kenny"
Kenny Beamish,1966/67,1947-08-25,,Kenny,Beamish,"Beamish, Kenny"
Kenny Beamish,1967/68,1947-08-25,,Kenny,Beamish,"Beamish, Kenny"
Kenny Beamish,1968/69,1947-08-25,,Kenny,Beamish,"Beamish, Kenny"
