game_date,shirt_no,player_name,on_for,off_for
1965-08-23,7,Mandy Hill,,12.0
1965-08-23,12,Jack Lornie,7.0,
1965-10-15,5,Eddie Stuart,,12.0
1965-10-15,12,Johnny King,5.0,
1966-01-08,9,Barry Dyson,,12.0
1966-01-08,12,Graham Stanley,9.0,
1966-01-14,4,Joe Pritchard,,12.0
1966-01-14,12,Jack Lornie,4.0,
1966-04-23,8,Jack Lornie,,12.0
1966-04-23,12,Barrie Martin,8.0,
1966-08-24,11,Roy Sinclair,,12.0
1966-08-24,12,Jimmy Harris,11.0,
1966-09-10,4,Barry Ashworth,,12.0
1966-09-10,12,Roy Sinclair,4.0,
1966-09-16,12,Barrie Martin,5.0,
1966-09-16,5,Stan Storton,,12.0
1966-10-14,2,Roy Parnell,,12.0
1966-10-14,12,Stan Storton,2.0,
1966-10-17,10,Kenny Beamish,,12.0
1966-10-17,12,Roy Sinclair,10.0,
1966-10-22,9,Brian Westlake,,12.0
1966-10-22,12,Barrie Martin,9.0,
1966-12-03,7,Mandy Hill,,12.0
1966-12-03,12,Brian Westlake,7.0,
1966-12-27,3,Barrie Martin,,12.0
1966-12-27,12,Bruce Crawford,3.0,
1966-12-30,7,Joe Pritchard,,12.0
1966-12-30,12,Bruce Crawford,7.0,
1967-02-17,10,Joe Pritchard,,12.0
1967-02-17,12,Barrie Martin,10.0,
1967-03-11,12,Roy Sinclair,6.0,
1967-03-11,6,Alan King,,12.0
1967-03-24,10,Joe Pritchard,,12.0
1967-03-24,12,Dennis Stevens,10.0,
1967-05-17,7,Mandy Hill,,12.0
1967-05-17,12,Roy Sinclair,7.0,
1967-08-25,4,Alan King,,12.0
1967-08-25,12,Teddie Robertson,4.0,
1967-09-16,9,George Yardley,,12.0
1967-09-16,12,Dennis Stevens,9.0,
1967-10-03,2,Johnny King,,12.0
1967-10-03,12,Dennis Stevens,2.0,
1967-10-07,3,Teddie Robertson,,12.0
1967-10-07,12,Kenny Beamish,3.0,
1967-10-13,12,George Hudson,7.0,
1967-10-13,7,John MacNamee,,12.0
1967-10-23,12,Ray Pointon,9.0,
1967-10-23,9,George Yardley,,12.0
1967-11-10,2,Stan Storton,,12.0
1967-11-10,12,Roy Sinclair,2.0,
1967-11-13,4,Joe Pritchard,,12.0
1967-11-13,12,Dennis Stevens,4.0,
1967-11-18,7,Kenny Beamish,,12.0
1967-11-18,12,Mandy Hill,7.0,
1967-12-23,7,Mandy Hill,,12.0
1967-12-23,12,Teddie Robertson,7.0,
1968-01-19,10,George Hudson,,12.0
1968-01-19,12,John MacNamee,10.0,
1968-02-21,4,Dennis Stevens,,12.0
1968-02-21,12,Gerry Casey,4.0,
1968-02-23,12,Kenny Beamish,7.0,
1968-02-23,7,John MacNamee,,12.0
1968-03-05,12,Gerry Casey,9.0,
1968-03-05,9,George Yardley,,12.0
1968-03-09,9,George Hudson,,12.0
1968-03-09,12,Gerry Casey,9.0,
1968-03-15,9,Joe Pritchard,,12.0
1968-03-15,12,John MacNamee,9.0,
1968-03-20,6,Alan King,,12.0
1968-03-20,12,Gerry Casey,6.0,
1968-04-06,7,John MacNamee,,12.0
1968-04-06,12,Stan Storton,7.0,
1968-04-12,9,Kenny Beamish,,12.0
